EquipmentID,SlotType,PartsName,PartsIndex,EquipType,Value,TargetTag
equip_axe_stone,WeaponRight,Axe,0,Axe,10,Tree
equip_sword_stone,WeaponRight,Sword,0,Sword,20,Animal
equip_pickaxe_stone,WeaponRight,Pickaxe,0,Pickaxe,15,Stone
equip_hat_wool,Hat,Headgear,0,None,3,
equip_hat_gorilla,Hat,Headgear,1,None,6,
equip_top_wool,Top,Top,0,None,5,
equip_top_gorilla,Top,Top,2,None,10,
equip_bottom_wool,Bottom,Bottom,0,None,5,
equip_bottom_gorilla,Bottom,Bottom,2,None,10,
equip_shoes_wool,Shoes,Shoes,0,None,3,
equip_shoes_gorilla,Shoes,Shoes,1,None,6,
equip_axe_iron,WeaponRight,Axe,1,Axe,15,Tree
equip_sword_iron,WeaponRight,Sword,1,Sword,40,Animal
equip_pickaxe_iron,WeaponRight,Pickaxe,1,Pickaxe,30,Stone
equip_axe_diamond,WeaponRight,Axe,2,Axe,35,Tree
equip_sword_diamond,WeaponRight,Sword,2,Sword,80,Animal
equip_pickaxe_diamond,WeaponRight,Pickaxe,2,Pickaxe,60,Stone
